card_name,info_type,image_src,image_data_file_width,image_width,language_Rōmaji,image_height,info_number,info_lore,info_password,language_Japanese,image_data_file_height,info_atk_def,info_rarity,image_alt,language_Translated,info_card_type
Krokodilus,Reptile,https://ms.yugipedia.com//6/60/Krokodilus-DM1-JP-VG.png,160,160,Kurokodairasu,144,076,A vicious crocodile with intelligence. Hard scales from a natural armor for this creature. ちえをもち さらにきょうぼうかした ワニ かたいうろこでこうげきをはじく,,クロコダイラス,144,1100 / 1200,B,Krokodilus-DM1-JP-VG.png,,
Grappler,Reptile,https://ms.yugipedia.com//8/8b/Grappler-DM1-JP-VG.png,160,160,Gurappurā,144,077,A devious snake with a thick body that wraps around an enemy monster and squeezes the life out of it. ずるがしこいヘビ ふとくてながい からだでしめつけるこうげきにちゅうい,,グラップラー,144,1300 / 1200,D,Grappler-DM1-JP-VG.png,,
Axe Raider,Warrior,https://ms.yugipedia.com//d/d0/AxeRaider-DM1-JP-VG.png,160,160,Akkusu Reidā,144,078,An axe-wielding monster of tremendous strength and agility. オノをもつせんし かたてでオノを ふりまわすこうげきは かなりつよい,,アックス・レイダー,144,1700 / 1150,A,AxeRaider-DM1-JP-VG.png,,
Megazowler,Dinosaur,https://ms.yugipedia.com//a/a2/Megazowler-DM1-JP-VG.png,160,160,Megazaurā,144,079,Nothing stands in the way of this spike-covereddinosaur! ぜんしんに つののはえたきょうりゅう とつげきこうげきは きょうれつだ,,メガザウラー,144,1800 / 2000,B,Megazowler-DM1-JP-VG.png,,
Uraby,Dinosaur,https://ms.yugipedia.com//2/28/Uraby-DM1-JP-VG.png,160,160,Wairudo Raputā,144,080,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws. はしることが とくいなきょうりゅう するどいかぎづめで こうげきする",,ワイルド・ラプター,144,1500 / 800,D,Uraby-DM1-JP-VG.png,Wild Raptor,
Crawling Dragon #2,Dinosaur,https://ms.yugipedia.com//4/47/CrawlingDragon2-DM1-JP-VG.png,160,160,Shikabane o Musaboru Ryū,144,081,A powerful dragon with teeth that can grind almost anything to dust. なんでも かみくだく くちをもつ きょうりゅう そのこうげきはつよい,,しかばねをむさぼるりゅう,144,1600 / 1200,C,CrawlingDragon2-DM1-JP-VG.png,Corpse-Devouring Dragon,
Red-eyes B. Dragon,Dragon,https://ms.yugipedia.com//8/84/RedeyesBDragon-DM1-JP-VG.png,160,160,Reddoaizu Burakku Doragon,144,082,A very rare card with high-levelATKfactor. こうげきりょくは じょうきゅうレベル まぼろしの ちょうレアカードだ！,,レッドアイズ・ブラックドラゴン,144,2400 / 2000,S,RedeyesBDragon-DM1-JP-VG.png,Red-Eyes Black Dragon,
Castle of D. Magic,Fiend,https://ms.yugipedia.com//7/77/CastleofDarkIllusions-DM1-JP-VG.png,160,160,Yamikuramashi no Shiro,144,083,A creature that can generate darkness to envelop all that exists around it. つねに やみをうみだし すべてのものを おおいかくしてしまう,,やみくらましのしろ,144,920 / 1930,B,CastleofDarkIllusions-DM1-JP-VG.png,Castle of Dark Illusions,
Reaper of the Card,Fiend,https://ms.yugipedia.com//9/94/ReaperoftheCards-DM1-JP-VG.png,160,160,Kādo wo Karu Shinigami,144,084,This monster boasts a strongdefenseand massive scythe that cuts through almost anything. おおきなカマをふりかざし すべてをきりさく しゅびりょくはかなりたかい,,カードをかるしにがみ,144,1380 / 1930,D,ReaperoftheCards-DM1-JP-VG.png,Card-Hunting Death God,
King of Yamimakai,Fiend,https://ms.yugipedia.com//b/bf/KingofYamimakai-DM1-JP-VG.png,160,160,Yamimakai no Haō,144,085,Wields the power of darkness to destroy its enemies. きょうだいな やみのちからをつかい まわりのものを すべてはかいする,,やみまかいのはおう,144,2000 / 1530,S,KingofYamimakai-DM1-JP-VG.png,Supreme King of the Dark Demon World,
Barox,Fiend,https://ms.yugipedia.com//d/da/Barox-DM1-JP-VG.png,160,160,Barokkusu,144,086,A winged creature that flies about freely in full darkness. It punches foes with its long and hairy arms. くらやみのなかを とびまわり けむくじゃらの ながいうでで なぐりかかる,,バロックス,144,1380 / 1530,D,Barox-DM1-JP-VG.png,,
Dark Chimera,Fiend,https://ms.yugipedia.com//e/e0/DarkChimera-DM1-JP-VG.png,160,160,Dāku Kimera,144,087,A fire-breathing monster that dwells in the netherworld. まかいに せいそくする モンスター やみのほのおをはき こうげきする,,ダーク・キメラ,144,1610 / 1460,D,DarkChimera-DM1-JP-VG.png,,
Metal Guardian,Fiend,https://ms.yugipedia.com//7/78/MetalGuardian-DM1-JP-VG.png,160,160,Metaru Gādian,144,088,"A fiend guarding the treasures of the netherworld, it's most at home in the dark. まかいのたからを しゅごするあくま くらやみでのしゅびは そうとうかたい",,メタル・ガーディアン,144,1150 / 2150,B,MetalGuardian-DM1-JP-VG.png,,
Catapult Turtle,Aqua,https://ms.yugipedia.com//5/51/CatapultTurtle-DM1-JP-VG.png,160,160,Kataparuto Tātoru,144,089,"Well-protected by its shell, this monster flings projectiles from its catapult. カタパルトから いろいろなものをとばし こうらで こうげきをはじく",,カタパルト・タートル,144,1000 / 2000,D,CatapultTurtle-DM1-JP-VG.png,,
Gyakutenno Megami,Fairy,https://ms.yugipedia.com//3/30/GyakutennoMegami-DM1-JP-VG.png,160,160,Gyakuten no Megami,144,090,Uses her holy power to protect the weak. This goddess has the power of reversal. せいなるちからで よわきものをまもり ぎゃくてんのちからを あたえるめがみ,,ぎゃくてんのめがみ,144,1800 / 2000,B,GyakutennoMegami-DM1-JP-VG.png,Goddess of Reversal,
Mystic Horseman,Beast,https://ms.yugipedia.com//d/d1/MysticHorseman-DM1-JP-VG.png,160,160,Kentaurosu,144,091,"Half man and half horse, this monster is known for its extreme speed. ひととウマが ひとつになったばけもの はしるのがはやく だれもおいつけない",,ケンタウロス,144,1300 / 1550,B,MysticHorseman-DM1-JP-VG.png,Centaur,
Rabid Horseman,Beast-Warrior,https://ms.yugipedia.com//1/1e/RabidHorseman-DM1-JP-VG.png,160,160,Minokentaurosu,144,092,A powerful and unstoppable combination ofbullandhorse. ウシとウマがいったいとなったばけもの きょうりょくなこうげきをしかけてくる,,ミノケンタウロス,144,2000 / 1700,S,RabidHorseman-DM1-JP-VG.png,Minocentaur,
Zanki,Warrior,https://ms.yugipedia.com//9/92/Zanki-DM1-JP-VG.png,160,160,Yoroi Musha Zanki,144,093,Prefers to face enemies one-on-one. His swiftly drawn blade delivers a quick and immediate finish. いっきうちをこのむ いっしゅんの すきをついて いあいぬきでこうげき,,よろいむしゃザンキ,144,1500 / 1700,C,Zanki-DM1-JP-VG.png,Armored Warrior Zanki,
Crawling Dragon,Dragon,https://ms.yugipedia.com//9/96/CrawlingDragon-DM1-JP-VG.png,160,160,Chi o Hau Doragon,144,094,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with. ちからがよわり そらをとべなくなった ドラゴン しかしまだこうげきはつよい",,ちをはうドラゴン,144,1600 / 1400,C,CrawlingDragon-DM1-JP-VG.png,,
Crass Clown,Fiend,https://ms.yugipedia.com//9/97/CrassClown-DM1-JP-VG.png,160,160,Mādā Sākasu,144,095,A malevolent clown that dances in the circus of darkness. Those that see its dance lose energy and strength. やみのサーカスでおどるピエロ そのおどりをみていると ちからがぬける,,マーダーサーカス,144,1350 / 1400,D,CrassClown-DM1-JP-VG.png,Murder Circus,
Armored Zombie,Zombie,https://ms.yugipedia.com//2/2a/ArmoredZombie-DM1-JP-VG.png,160,160,Yoroi Musha Zonbi,144,096,A warriorraised from the beyond. Blindly swings a sharp blade with devastating force. おんねんにより よみがえったむしゃ やみくもにふりまわすカタナにちゅうい,,よろいむしゃゾンビ,144,1500 / 0,C,ArmoredZombie-DM1-JP-VG.png,Armored Warrior Zombie,
Dragon Zombie,Zombie,https://ms.yugipedia.com//c/cb/DragonZombie-DM1-JP-VG.png,160,160,Doragon Zombi,144,097,A dragonrevived by sorcery. Its breath is highly corrosive. まりょくにより よみがえったドラゴン はくいきはふれるものをふしょくさせる,,ドラゴン・ゾンビ,144,1600 / 0,B,DragonZombie-DM1-JP-VG.png,,
Clown Zombie,Zombie,https://ms.yugipedia.com//3/32/ClownZombie-DM1-JP-VG.png,160,160,Mādā Sākasu Zonbi,144,098,A clownrevived by the powers of darkness. Its deadly dance has sent many monsters to their graves. やみのちからで いきかえったピエロ フラフラとしたおどりでしへといざなう,,マーダーサーカス・ゾンビ,144,1350 / 0,D,ClownZombie-DM1-JP-VG.png,Murder Circus Zombie,
Pumpking the King,Zombie,https://ms.yugipedia.com//e/ef/PumpkingtheKingofGhosts-DM1-JP-VG.png,160,160,Gōsuto Ō -Panpukingu-,144,099,This pumpkin king strikes at its enemies with its long tentacles. おばけカボチャのおうさま しょくしゅをふっておそってくる かなりてごわい,,ゴーストおう　ーパンプキングー,144,1800 / 2000,S,PumpkingtheKingofGhosts-DM1-JP-VG.png,Ghost King -Pumpking-,
Battle Warrior,Warrior,https://ms.yugipedia.com//8/8c/BattleWarrior-DM1-JP-VG.png,160,160,Kakutōsenshi Arutimētā,144,100,A grappling warrior who does not use any weapons and fights with bare hands. ぶきをいっさいつかわず すでで たたかいぬく かくとうせんし,,かくとうせんしアルティメーター,144,700 / 1000,C,BattleWarrior-DM1-JP-VG.png,Battle Warrior Ultimator,
Wings of Wicked Fl,Pyro,https://ms.yugipedia.com//4/45/WingsofWickedFlame-DM1-JP-VG.png,160,160,Jaen no Tsubasa,144,101,The wings of this creature shimmer with red-black flames. It attacks by making fire erupt from all over its body. あかぐろくもえるつばさ ぜんしんから ほのおをふきだし こうげきする,,じゃえんのつばさ,144,700 / 600,C,WingsofWickedFlame-DM1-JP-VG.png,Wings of Wicked Flame,
Mask of Darkness,Fiend,https://ms.yugipedia.com//2/2d/MaskofDarkness-DM1-JP-VG.png,160,160,Yami no Kamen,144,102,A shadow mask created by the hands of a dark mage. やみのまじゅつしがつくりあげたかめん めにみえない やみのちからでこうげき,,やみのかめん,144,900 / 400,C,MaskofDarkness-DM1-JP-VG.png,,
Job-change Mirror,Fiend,https://ms.yugipedia.com//9/9c/JobChangeMirror-DM1-JP-VG.png,160,160,Tenshoku no Makyō,144,103,A wicked mirror that blocks off the damaging effects of an attack. あくまのかがみ こうげきをうけても われずに ダメージをふせいでくれる,,てんしょくのまきょう,144,800 / 1300,B,JobChangeMirror-DM1-JP-VG.png,Job-Change Magic Mirror,
Curtain of the Dar,Spellcaster,https://ms.yugipedia.com//3/37/CurtainoftheDarkOnes-DM1-JP-VG.png,160,160,Kuromazoku no Kāten,144,104,A curtain woven by the hands of a sorcerer. It is said to enhance the power of magic users. まじゅつしが つくりだしたカーテン まほうつかいのちからが あがるという,,くろまぞくのカーテン,144,600 / 500,C,CurtainoftheDarkOnes-DM1-JP-VG.png,Curtain of the Black-Magic Tribe,
Tomozaurus,Dinosaur,https://ms.yugipedia.com//7/74/Tomozaurus-DM1-JP-VG.png,160,160,Tomozaurusu,144,105,"Small but vicious, this monster even attacks its own kind. ちいさいが せいかくは きょうぼう なかまどうしで あらそいだす",,トモザウルス,144,500 / 400,D,Tomozaurus-DM1-JP-VG.png,Friendsaurus,
Spirit of the Wind,Spellcaster,https://ms.yugipedia.com//d/db/SpiritoftheWinds-DM1-JP-VG.png,160,160,Kaze no Seirei,144,106,A free-spirited wind elemental that flits about as it desires. It brings storms when it becomes upset. きままに とびまわる かぜのせいれい きげんがわるいと あらしになる,,かぜのせいれい,144,1700 / 1400,D,SpiritoftheWinds-DM1-JP-VG.png,Spirit of the Winds,
Kageningen,Warrior,https://ms.yugipedia.com//1/15/Kageningen-DM1-JP-VG.png,160,160,Shadou Faitā,144,107,"Uses both physical and shadow forms to attack, making it a difficult creature to overcome. じったいと かげにわかれて おそってくる ゆだんすると はさまれるぞ",,シャドウ・ファイター,144,800 / 600,D,Kageningen-DM1-JP-VG.png,Shadow Fighter,
Graveyard & Hand,Zombie,https://ms.yugipedia.com//6/69/GraveyardandtheHandofInvitation-DM1-JP-VG.png,160,160,Temaneki-suru Hakaba,144,108,A final resting place that enhances the power of the doomed and drains that of the living. ししゃに さらなる ちからをあたえ いけるものを しへとさそう はかば,,てまねきするはかば,144,700 / 900,A,GraveyardandtheHandofInvitation-DM1-JP-VG.png,Beckoning Graveyard,
All-seeing Goddess,Fairy,https://ms.yugipedia.com//a/a1/GoddesswiththeThirdEye-DM1-JP-VG.png,160,160,Shingan no Megami,144,109,A goddess that has a divine third eye on her forehead. The divine eye gives her all-seeing powers. ひたいにある かみのめで すべてを みとおすことができるめがみ,,しんがんのめがみ,144,1200 / 1000,D,GoddesswiththeThirdEye-DM1-JP-VG.png,Goddess of the Mind's Eye,
Hero of the East,Warrior,https://ms.yugipedia.com//9/99/HerooftheEast-DM1-JP-VG.png,160,160,Tōhō no Eiyū,144,110,A samurai from the Far East armed with a razor-sharp sword. はるかひがしのくにからきたといわれるサムライ てにするカタナはよくきれる,,とうほうのえいゆう,144,1100 / 1000,D,HerooftheEast-DM1-JP-VG.png,,
Doma The Angel of,Fairy,https://ms.yugipedia.com//1/11/DomaTheAngelofSilence-DM1-JP-VG.png,160,160,Shi no Chinmoku no Tenshi Doma,144,111,The angel of death. This being must never be angered. To earn its wrath is to know death. しをつかさどるてんし こいつに にらまれたら しからのがれられない,,しのちんもくのてんし ドマ,144,1600 / 1400,D,DomaTheAngelofSilence-DM1-JP-VG.png,Doma the Angel of Silent Death,
Life Eater,Fiend,https://ms.yugipedia.com//4/42/ThatWhichFeedsonLife-DM1-JP-VG.png,160,160,Inochi o Shokusuru Mono,144,112,A demon that fuels its power by feeding on the souls of other creatures. あらゆるいきものの たましいをくい おのれのエネルギーとするあくま,,いのちをしょくするもの,144,1200 / 1000,D,ThatWhichFeedsonLife-DM1-JP-VG.png,That Which Feeds on Life,
Dark Gray,Beast,https://ms.yugipedia.com//2/2c/DarkGray-DM1-JP-VG.png,160,160,Dāku Gurei,144,113,"Entirely gray, this beast has rarely been seen by mortal eyes. からだがはいいろのけもの あまり みかけない きちょうないきもの",,ダーク・グレイ,144,800 / 900,C,DarkGray-DM1-JP-VG.png,,
White Magical Hat,Spellcaster,https://ms.yugipedia.com//7/74/WhiteMagicalHat-DM1-JP-VG.png,160,160,Howaito Shīfu,144,114,White silk hat and white tuxedo. Entire body is a pure-white thief. しろいタキシード しろいシルクハット ぜんしんが まっしろなシーフ,,ホワイト・シーフ,144,1000 / 700,C,WhiteMagicalHat-DM1-JP-VG.png,White Thief,
Kamionwizard,Spellcaster,https://ms.yugipedia.com//f/fa/Kamionwizard-DM1-JP-VG.png,160,160,Kaosu Wizādo,144,115,A magic-user that controls chaos and wields a mighty sickle. こんとんをあやつる まほうつかい おおきなカマの こうげきはつよい,,カオス・ウィザード,144,1300 / 1100,D,Kamionwizard-DM1-JP-VG.png,Chaos Wizard,
Nightmare Scorpion,Insect,https://ms.yugipedia.com//5/5c/NightmareScorpion-DM1-JP-VG.png,160,160,Naitomea Sukōpion,144,116,"A creature that generates nightmares to haunt an opponent, it attacks with four poisonous tails. あくむをみせ うなされているあいだに 4ほんもある どくのしっぽをさす",,ナイトメア・スコーピオン,144,900 / 800,C,NightmareScorpion-DM1-JP-VG.png,,
Spirit of the Book,Winged Beast,https://ms.yugipedia.com//c/c0/SpiritoftheBooks-DM1-JP-VG.png,160,160,Hon no Seirei - Hōku Bishoppu,144,117,A spirit of the book with infinite knowledge and an endless variety of attack strategies. ほんのせいれい とてもたかいちえをもち たさいなこうげきをしかけてくる,,ほんのせいれい　ホーク・ビショップ,144,1400 / 1200,A,SpiritoftheBooks-DM1-JP-VG.png,Spirit of the Books - Hawk Bishop,
Supporter in the S,Warrior,https://ms.yugipedia.com//3/32/SupporterintheShadows-DM1-JP-VG.png,160,160,Monokage no Kyōryokusha,144,118,A cute elf that assists against enemies while remaining hidden from sight. ものかげから こっそりときょうりょくしてくれる かわいらしいこびと,,ものかげのきょうりょくしゃ,144,1000 / 1000,D,SupporterintheShadows-DM1-JP-VG.png,Supporter in the Shadows,
Trial of Nightmare,Fiend,https://ms.yugipedia.com//0/01/TrialofNightmare-DM1-JP-VG.png,160,160,Jigoku no Saiban,144,119,This fiend passes judgment on enemies that are locked in coffins. てきを かんおけにとじこめ じごくのつかいが グサリとはんけつをくだす,,じごくのさいばん,144,1300 / 900,C,TrialofNightmare-DM1-JP-VG.png,Trial of Hell,
Dream Clown,Warrior,https://ms.yugipedia.com//a/a8/DreamClown-DM1-JP-VG.png,160,160,Dorīmu Piero,144,120,Its sweet dancing lulls the viewer to an eternal sleep. あまいおどりで えいえんにさめない ゆめのなかへ さそいこむ,,ドリーム・ピエロ,144,1200 / 900,C,DreamClown-DM1-JP-VG.png,Dream Pierrot,
Sleeping Lion,Beast,https://ms.yugipedia.com//3/39/SleepingLion-DM1-JP-VG.png,160,160,Nemureru Shishi,144,121,"Frequently found sleeping, it becomes uncontrollable when awakened. ふだん　ねむっている もうじゅう めをさますと てがつけられない",,ねむれるシシ,144,700 / 1700,C,SleepingLion-DM1-JP-VG.png,,
Yamatano Dragon Sc,Dragon,https://ms.yugipedia.com//5/5a/YamatanoDragonScroll-DM1-JP-VG.png,160,160,Yamatano Doragon Emaki,144,122,This dragon is conjured from a picture scroll to attack enemies. It has a pretty lowdefense factor. えまきのドラゴンが じったいかして こうげきする しゅびはかなりひくい,,ヤマタノドラゴンえまき,144,900 / 300,C,YamatanoDragonScroll-DM1-JP-VG.png,Yamatano Dragon Scroll,
Dark Plant,Plant,https://ms.yugipedia.com//c/c0/DarkPlant-DM1-JP-VG.png,160,160,Dāku Puranto,144,123,A malignant flower grown in polluted soil with dark powers. It is extremely wild and vicious. おせんされたつちと やみのちからで そだてられたはな とてもきょうぼう,,ダーク・プラント,144,300 / 400,A,DarkPlant-DM1-JP-VG.png,,
Ancient Tool,Machine,https://ms.yugipedia.com//b/be/AncientTool-DM1-JP-VG.png,160,160,Aian Hāto,144,124,A machine that was found in the ruins of an ancient culture. It appears to have been made solely to destroy. こだいぶんめいの いせきでみつかった はかいだけを もくてきとした きかい,,アイアン・ハート,144,1700 / 1400,C,AncientTool-DM1-JP-VG.png,Iron Heart,
Faith Bird,Winged Beast,https://ms.yugipedia.com//5/58/FaithBird-DM1-JP-VG.png,160,160,Seinto Bādo,144,125,This long-tailed bird blinds its enemies with mystical light. ひじょうに おのながいとり ぜんしんから せいなるひかりをはっする,,セイント・バード,144,1500 / 1100,A,FaithBird-DM1-JP-VG.png,Saint Bird,
Orion the Battle K,Fairy,https://ms.yugipedia.com//a/a4/OriontheBattleKing-DM1-JP-VG.png,160,160,Tatakai no Kami Orion,144,126,"An imposing angel that is claimed to be the god of battle. No one, however, has been witness to it in battle. たたかいのかみ といわれているてんし そのたたかいをみたものはだれもいない",,たたかいのかみ オリオン,144,1800 / 1500,C,OriontheBattleKing-DM1-JP-VG.png,Orion the Battle God,
Ansatsu,Warrior,https://ms.yugipedia.com//6/61/Ansatsu-DM1-JP-VG.png,160,160,Asashin,144,127,A silent and deadly warrior specializing in assassinations. やみのなかを おともたてず あいてに しのびよる あんさつせんもんのせんし,,アサシン,144,1700 / 1200,D,Ansatsu-DM1-JP-VG.png,Assassin,
LaMoon,Spellcaster,https://ms.yugipedia.com//f/f3/LaMoon-DM1-JP-VG.png,160,160,Ramūn,144,128,A sorcerer who lives on the moon and attacks opponents with the power of lunar light. つきにすむまほうつかい つきのもつ まりょくで あいてをみりょうする,,ラムーン,144,1200 / 1700,D,LaMoon-DM1-JP-VG.png,,
Nemuriko,Spellcaster,https://ms.yugipedia.com//b/bb/Nemuriko-DM1-JP-VG.png,160,160,Nemuriko,144,129,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber. こどもだが すいまをあやつり 2どとさめることのない ねむりをさそう,,ねむりこ,144,800 / 700,C,Nemuriko-DM1-JP-VG.png,Sleep Child,
Weather Control,Fairy,https://ms.yugipedia.com//f/fb/WeatherControl-DM1-JP-VG.png,160,160,Wezā Kontorōru,144,130,This creature controls weather and is often the cause of mountain storms. てんきをじゆうにあやつれる やまのてんきがかわりやすいのはコイツのせい,,ウェザー・コントロール,144,600 / 400,B,WeatherControl-DM1-JP-VG.png,,
Octoberser,Aqua,https://ms.yugipedia.com//5/5d/Octoberser-DM1-JP-VG.png,160,160,Okutobāsā,144,131,"With the head of a fish and the legs of an octopus, this strange creature attacks enemies by flinging spears. サカナのあたま タコのあし とっても ふしぎないきもの ヤリでこうげきする",,オクトバーサー,144,1600 / 1400,B,Octoberser-DM1-JP-VG.png,,
The 13th Grave,Zombie,https://ms.yugipedia.com//2/2a/The13thGrave-DM1-JP-VG.png,160,160,Jūsan-ninme no Maisōsha,144,132,A zombie that suddenly appeared from plot #13 - an empty grave. だれもいないはずの 13ばんめのはかから とつぜんあらわれたゾンビ,,１３にんめのまいそうしゃ,144,1200 / 900,D,The13thGrave-DM1-JP-VG.png,The 13th Buried,
Charubin the Fire,Pyro,https://ms.yugipedia.com//4/4d/CharubintheFireKnight-DM1-JP-VG.png,160,160,Honō no Kishi Kirā,144,133,A warrior protected by a shell that can even deflect the heat of burning flames. ほのおのなかでも びくともしない かっちゅうに みをつつんでいるきし,,ほのおのきし キラー,144,1100 / 800,D,CharubintheFireKnight-DM1-JP-VG.png,Killer the Flame Knight,
Mystical Capture C,Fairy,https://ms.yugipedia.com//a/a1/MysticalCaptureChain-DM1-JP-VG.png,160,160,Seinaru Kusari,144,134,A mystical chain that is believed capable of binding its enemies and preventing their attacks. せいなるちからで うごきをふうじる ことができる といわれているくさり,,せいなるくさり,144,700 / 700,B,MysticalCaptureChain-DM1-JP-VG.png,Holy Chain,
Fiend's Hand,Zombie,https://ms.yugipedia.com//b/b4/FiendsHand-DM1-JP-VG.png,160,160,Shisha no Ude,144,135,Arms that reach out from the Swamp of Chaos to drag down the damned. こんとんのぬまから うでをのばし いけるものを なかへとひきずりこむ,,ししゃのうで,144,600 / 600,C,FiendsHand-DM1-JP-VG.png,Arms of the Dead,
Witty Phantom,Fiend,https://ms.yugipedia.com//2/23/WittyPhantom-DM1-JP-VG.png,160,160,Majin Desu-Satan,144,136,"Dressed in a night-black tuxedo, this creature presides over the darkness. やみにとけこむ くろのタキシードに みをつつんだ しをつかさどるあくま",,まじん　デスサタン,144,1400 / 1300,D,WittyPhantom-DM1-JP-VG.png,Djinn Death-Satan,
Mystery Hand,Fiend,https://ms.yugipedia.com//e/e8/MysteryHand-DM1-JP-VG.png,160,160,Nazo no Te,144,137,This monster twists reality and reaches between dimensions to attack its enemies. くうかんをゆがませ じげんのはざまからうでをのばし こうげきをしかける,,なぞのて,144,500 / 500,A,MysteryHand-DM1-JP-VG.png,,
Dragon Statue,Warrior,https://ms.yugipedia.com//a/a3/DragonStatue-DM1-JP-VG.png,160,160,Doragon Souru Sutachū,144,138,A stone statue of a warrior with the soul of a dragon. It cleaves foes with its prized sword. ドラゴンのたましいをもつ せきぞうの せんし じまんのけんでてきをきりさく,,ドラゴン・ソウル・スタチュー,144,1100 / 900,D,DragonStatue-DM1-JP-VG.png,Dragon Soul Statue,
B.eye Silv. Zombie,Zombie,https://ms.yugipedia.com//d/d4/BlueEyedSilverZombie-DM1-JP-VG.png,160,160,Burūaido Shirubā Zonbi,144,139,A creature rumored to turn enemies in to zombies with a strange ray that emanates from its eyes. めからだす かいこうせんで あいてを ゾンビにかえてしまうといわれている,,ブルーアイド・シルバーゾンビ,144,900 / 700,A,BlueEyedSilverZombie-DM1-JP-VG.png,Blue-Eyed Silver Zombie,
Toad Master,Aqua,https://ms.yugipedia.com//8/80/ToadMaster-DM1-JP-VG.png,160,160,Tōdo Masutā,144,140,A frog that has lived thousands of years. It attacks with tadpoles. なんぜんねんもいきている カエルのせんにん おたまじゃくしでこうげき,,トードマスター,144,1000 / 1000,C,ToadMaster-DM1-JP-VG.png,,
Spiked Snail,Insect,https://ms.yugipedia.com//9/93/SpikedSnail-DM1-JP-VG.png,160,160,Debiru Tsumuri,144,141,"A snail evolved with the powers of darkness. Having arms and legs, it can move very quickly. やみのちからで しんかしたカタツムリ てやあしがあり はやくうごける",,デビルツムリ,144,700 / 1300,C,SpikedSnail-DM1-JP-VG.png,Devil Snail,
Flame Manipulator,Spellcaster,https://ms.yugipedia.com//1/1d/FlameManipulator-DM1-JP-VG.png,160,160,Honō wo Ayatsurumono,144,142,"Attacks enemies with fire-related spells, such as the ""Sea of Flames"" and ""Wall of Fire"". ほのおのうみや ほのおのかべを じざいにつくりだし こうげきする",,ほのおをあやつるもの,144,900 / 1000,A,FlameManipulator-DM1-JP-VG.png,,
Chronolord,Spellcaster,https://ms.yugipedia.com//7/72/NecrolancertheTimelord-DM1-JP-VG.png,160,160,Toki no Majin Nekuroransa,144,143,The first in a line of lords that appear from a space-time ring that can appear anywhere. すきなところへいけるという じくうリングからでてくる 1つめのまじん,,ときのまじん　ネクロランサ,144,800 / 900,C,NecrolancertheTimelord-DM1-JP-VG.png,Necrolancer the Time Djinn,
Wind Djinn,Spellcaster,https://ms.yugipedia.com//a/a7/DjinntheWatcheroftheWind-DM1-JP-VG.png,160,160,Kaze no Ban'nin Jin,144,144,Controls the air currents to create violent winds and tornadoes to blow away anything nearby. かぜをあやつり たつまきやとっぷうをおこし しゅういのものをふきとばす,,かぜのばんにん ジン,144,700 / 900,D,DjinntheWatcheroftheWind-DM1-JP-VG.png,Djinn the Watcher of the Wind,
Phantom Thief,Spellcaster,https://ms.yugipedia.com//e/eb/TheBewitchingPhantomThief-DM1-JP-VG.png,160,160,Miwaku no Kaitō,144,145,A suave and debonair thief who swaddles himself in a black cape. He enchants enemies by exquisitely twirling his cape. くろいマントをはおる キザなかいとう つえをふって あいてをみりょうする,,みわくのかいとう,144,700 / 700,C,TheBewitchingPhantomThief-DM1-JP-VG.png,The Bewitching Phantom Thief,
Temple of Skulls,Zombie,https://ms.yugipedia.com//6/61/TempleofSkulls-DM1-JP-VG.png,160,160,Dokuro no Ji'in,144,146,A mysterious temple of skulls and bones that pulls in unsuspecting enemies. ドクロとほねばかりの きみのわるい おてら ちかづくものをすいこむ,,ドクロのじいん,144,900 / 1300,C,TempleofSkulls-DM1-JP-VG.png,,
Monster Egg,Warrior,https://ms.yugipedia.com//f/fb/MonsterEgg-DM1-JP-VG.png,160,160,Monsutā Eggu,144,147,A warrior hidden within an egg that attacks enemies by flinging eggshells. たまごのからに みをつつんだ なぞの せんし からをとばしてこうげきする,,モンスター・エッグ,144,600 / 900,C,MonsterEgg-DM1-JP-VG.png,,
Sinister Shadow,Fiend,https://ms.yugipedia.com//b/be/TheShadowWhoControlstheDark-DM1-JP-VG.png,160,160,Yami o Tsukasadoru Kage,144,148,"A shadow that dwells in the dark, paralyzing its opponents and rendering them harmless. くらやみのなかに とけこむかげ かなしばりで てきのうごきをふうじる",,やみをつかさどるかげ,144,800 / 700,C,TheShadowWhoControlstheDark-DM1-JP-VG.png,The Shadow Who Controls the Dark,
Lord of the Lamp,Fiend,https://ms.yugipedia.com//2/26/LordoftheLamp-DM1-JP-VG.png,160,160,Ranpu no Majin,144,149,This spirit emerges from the mystic lamp and obeys the wishes of its summoner. まほうのランプからあらわれる まじん よびだしたものに ふくじゅうする,,ランプのまじん,144,1400 / 1200,D,LordoftheLamp-DM1-JP-VG.png,Djinn of the Lamp,
Akihiron,Aqua,https://ms.yugipedia.com//7/7d/Akihiron-DM1-JP-VG.png,160,160,Kakutasu,144,150,A mysterious creature that dwells below the sea. すいちゅうにひそんでいる えたいの しれないかっこうをした ばけもの,,カクタス,144,1700 / 1400,D,Akihiron-DM1-JP-VG.png,Cactus,
